"","resid_Place","resid_identity","pid7","PARTY","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_Socialist","FT_capitalist","FT_rural","FT_WHO","FT_CDC","ideo7","gender","race","educ","income","age","Voted_2020"
"134","Rural Area","Small Town Person",7,"Republican",15,90,0,90,0,100,0,50,0,0,NA,85,NA,85,NA,45,30,85,85,85,50,70,0,0,0,85,85,0,30,6,"Male","White","Bachelor's Degree",20,62,1
"135","Rural Area","Country Person",4,"Independent",70,0,60,0,60,0,70,0,85,85,70,15,30,30,70,15,60,15,60,70,70,85,85,85,85,15,85,85,60,2,"Female","White","Graduate Degree",17,37,1
"136","City","Small Town Person",4,"Independent",0,60,0,100,85,0,100,40,70,85,85,60,40,85,85,15,70,85,85,85,60,100,70,70,40,85,85,85,85,6,"Female","White","High School",NA,73,1
"137","Suburb","Suburb Person",6,"Republican",50,30,50,0,85,0,90,5,5,40,50,50,85,95,50,15,85,100,85,90,50,100,5,90,0,85,60,70,100,5,"Male","White","Bachelor's Degree",20,52,1
"138","Suburb","Suburb Person",7,"Republican",0,100,0,100,0,85,40,100,15,0,70,70,100,70,15,0,15,100,100,100,15,85,0,0,0,85,100,70,40,7,"Female","White","Graduate Degree",3,76,1
"139","Small Town","City Person",4,"Independent",30,15,40,0,50,0,85,50,50,50,40,30,50,50,50,60,50,70,70,85,70,100,30,70,50,60,85,70,60,5,"Male","White","Some College",2,73,1
"140","Small Town","Small Town Person",3,"Democrat",50,50,50,30,50,30,50,50,50,50,50,40,50,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,50,3,"Female","White","Bachelor's Degree",21,42,1
"141","Small Town","Small Town Person",4,"Independent",30,50,0,100,30,85,70,50,50,50,50,50,50,50,50,50,15,85,30,60,50,50,50,50,50,50,60,50,60,4,"Male","White","High School",4,67,1
"142","City","Suburb Person",1,"Democrat",60,40,85,50,85,0,100,50,50,60,100,50,40,45,50,50,50,50,50,75,50,100,60,90,15,NA,50,65,85,4,"Male","White","Some College",15,64,1
"143","Suburb","Suburb Person",2,"Democrat",30,70,0,70,0,60,30,40,100,30,100,60,30,70,100,0,100,100,100,60,85,100,30,40,40,30,100,85,60,NA,"Female","White","Some College",15,55,1
"144","Suburb","City Person",3,"Democrat",60,0,60,0,60,0,40,0,60,60,85,40,30,40,100,40,50,50,50,40,100,100,100,60,50,30,60,85,85,2,"Female","Black","Graduate Degree",11,29,1
"145","City","City Person",1,"Democrat",100,0,100,0,100,0,100,100,60,50,70,70,50,86,100,50,70,100,50,60,100,70,100,86,86,50,86,NA,86,6,"Female","Black","Some College",8,34,1
"146","Small Town","Small Town Person",3,"Democrat",65,30,70,0,65,0,85,25,50,65,50,65,50,50,60,50,50,40,60,50,60,85,50,50,50,65,50,65,65,4,"Female","White","Graduate Degree",20,45,0
"147","Small Town","City Person",2,"Democrat",70,0,85,0,85,0,100,0,100,85,100,50,30,30,100,30,100,50,100,30,100,100,100,100,50,70,25,100,100,1,"Male","Native American","Graduate Degree",22,40,1
"148",NA,NA,5,"Republican",15,60,15,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Male","White","Some College",3,28,0
"149","Suburb","City Person",2,"Democrat",70,15,75,10,70,15,85,30,60,60,50,60,50,60,70,40,60,60,50,70,70,70,60,50,50,50,60,60,60,4,"Male","Hispanic","Some College",20,49,1
"150","Suburb","Suburb Person",1,"Democrat",85,30,100,0,100,0,70,50,70,85,85,60,15,60,100,50,85,30,100,70,85,85,85,85,70,70,50,85,85,2,"Male","White","Graduate Degree",18,37,1
"151","Small Town","Suburb Person",7,"Republican",15,85,40,100,15,100,75,60,70,15,30,85,85,70,70,30,85,100,100,100,60,85,0,20,30,60,100,15,70,6,"Female","White","Some College",19,80,1
"152",NA,NA,2,"Democrat",100,0,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Female","Asian","High School",13,55,0
"153","Rural Area","Country Person",6,"Republican",30,100,40,NA,0,100,40,60,40,40,50,50,70,70,50,50,50,85,50,70,50,50,40,15,50,50,60,0,40,3,"Female","White","Less than High School",5,80,1
"154",NA,NA,1,"Democrat",70,50,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","Other","Bachelor's Degree",17,63,0
"155","Rural Area","Country Person",5,"Republican",30,60,30,70,40,80,75,75,50,20,5,65,90,80,0,10,50,95,50,85,20,85,0,5,0,75,100,20,60,6,"Female","White","Some College",8,66,1
"156","Rural Area","Country Person",6,"Republican",60,70,50,60,60,NA,60,50,70,50,60,50,60,60,70,NA,60,70,60,70,50,70,NA,50,50,50,50,60,70,5,"Male","White","Bachelor's Degree",8,55,0
"157","Rural Area","Country Person",6,"Republican",0,60,0,90,0,100,60,50,50,30,15,50,70,50,15,40,50,100,85,100,15,75,15,0,0,85,100,15,40,6,"Male","White","Some College",18,65,1
"158","City","City Person",1,"Democrat",85,15,85,0,85,0,100,15,100,100,40,70,30,60,100,40,85,85,100,85,85,100,85,100,60,70,70,85,85,2,"Female","White","Graduate Degree",14,69,1
"159","Small Town","City Person",7,"Republican",15,85,50,85,50,85,60,70,30,30,50,30,70,60,0,70,0,85,70,60,0,60,70,50,0,0,NA,60,85,7,"Female","White","High School",3,70,1
"160","City","City Person",7,"Republican",0,85,0,100,15,100,50,85,70,70,50,70,60,70,85,60,70,85,85,85,70,85,60,30,60,50,70,60,85,NA,"Male","White","High School",13,64,0
"161","Small Town","Country Person",7,"Republican",0,100,0,100,0,100,50,85,60,0,50,60,70,60,50,0,40,85,50,100,50,100,0,0,0,NA,100,60,60,7,"Male","White","High School",18,62,1
"162","Suburb","Suburb Person",6,"Republican",30,70,0,85,0,90,50,50,50,30,40,75,85,85,50,40,50,100,100,100,50,85,0,0,0,95,100,0,75,6,"Male","White","Graduate Degree",NA,50,1
"163","Small Town","Suburb Person",1,"Democrat",85,30,NA,30,100,0,50,70,100,100,100,100,100,70,60,70,70,100,85,85,60,100,100,70,85,60,NA,100,100,NA,"Female","Black","High School",1,46,0
"164","City","Suburb Person",1,"Democrat",85,0,100,0,100,0,100,50,100,100,85,70,40,70,85,85,100,100,100,40,70,100,85,100,85,0,50,85,100,2,"Female","Other",NA,15,67,1
"165",NA,NA,1,"Democrat",75,0,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Female","White","Some College",2,43,0
"166","City","City Person",3,"Democrat",60,0,60,0,60,0,85,15,70,60,70,30,30,40,50,15,60,40,50,30,50,100,85,70,60,50,50,85,85,2,"Male","White","Bachelor's Degree",7,30,1
"167","Rural Area","Country Person",7,"Republican",20,80,0,90,0,85,60,85,40,0,60,NA,90,70,0,50,15,90,70,85,0,40,0,0,0,85,100,15,70,6,"Male","White","High School",13,80,1
"168","Rural Area","City Person",1,"Democrat",100,15,100,20,90,0,70,15,85,85,85,15,30,40,85,70,50,50,85,85,70,100,85,75,80,30,40,85,80,4,"Female","White","High School",4,58,0
"169","City","Country Person",4,"Independent",0,48,0,70,0,70,15,0,0,15,0,50,70,30,70,30,85,30,85,70,70,70,15,0,0,100,100,15,15,4,"Male","White","Some College",18,29,1
"170","Suburb","Suburb Person",1,"Democrat",85,15,85,0,85,0,100,50,50,50,50,50,NA,50,60,15,50,100,70,85,50,85,60,70,50,50,NA,85,85,4,"Male","White","Some College",3,71,1
"171","Rural Area","Country Person",7,"Republican",20,85,30,60,30,50,75,60,35,25,35,70,75,65,40,50,30,75,50,75,50,85,40,40,30,75,85,50,75,6,"Male","White","Graduate Degree",17,69,1
"172","City","City Person",1,"Democrat",85,0,85,0,100,0,100,15,70,100,70,30,0,30,100,30,40,40,100,70,40,100,85,70,60,NA,50,85,85,2,"Male","White","Graduate Degree",22,80,0
"173","City","City Person",2,"Democrat",60,15,70,0,90,0,95,40,90,85,70,70,10,50,90,25,95,95,95,50,95,95,85,60,40,85,70,70,70,2,"Male","White","Graduate Degree",20,28,1
"174","City","Country Person",2,"Democrat",70,30,85,0,60,40,50,50,60,50,50,40,50,50,100,60,50,100,50,100,85,85,100,50,50,NA,NA,NA,85,NA,"Female","Hispanic","Bachelor's Degree",1,22,0
"175","Suburb","Suburb Person",1,"Democrat",75,25,85,0,85,0,100,25,90,100,85,40,25,75,100,60,85,70,90,75,100,90,80,85,70,40,75,85,85,2,"Female","White","Graduate Degree",16,72,1
"176","Suburb","City Person",4,"Independent",60,30,60,0,90,2,85,50,70,60,60,50,60,70,70,50,65,75,80,70,55,90,50,75,45,65,60,80,75,4,"Male","White","Bachelor's Degree",16,63,1
"177",NA,NA,3,"Democrat",40,40,70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Female","White","Bachelor's Degree",22,64,0
"178","Suburb","Small Town Person",1,"Democrat",70,0,85,0,85,0,100,30,100,100,100,30,16,60,100,60,100,100,100,70,100,100,100,85,60,0,50,NA,85,1,"Female","White","Some College",1,61,0
"179","Rural Area","Country Person",7,"Republican",15,70,NA,NA,50,100,60,50,50,50,50,100,60,70,50,70,50,100,50,100,50,100,50,0,0,40,30,100,100,NA,"Male","Hispanic","High School",2,60,1
"180","Suburb","Country Person",7,"Republican",0,85,15,NA,0,85,40,85,50,15,60,40,100,60,30,30,40,100,85,100,15,70,40,30,40,50,85,40,50,6,"Male","White","High School",9,48,1
"181","City","City Person",7,"Republican",15,70,15,85,15,85,40,30,0,30,15,70,85,100,50,70,70,70,70,100,50,100,0,0,0,100,70,40,40,6,"Female","White","Graduate Degree",15,69,1
"182","City","Suburb Person",7,"Republican",0,100,0,100,0,100,40,50,40,70,80,85,70,100,0,70,30,70,100,100,0,50,0,40,0,100,85,40,60,4,"Female","White","Graduate Degree",NA,80,1
"183","Small Town","Small Town Person",5,"Republican",15,86,30,85,15,85,50,100,30,15,30,50,85,70,30,40,15,100,60,85,40,40,0,0,0,85,100,15,50,6,"Female","White","Some College",6,77,1
"184","Suburb","City Person",2,"Democrat",60,15,70,0,85,0,70,30,60,70,30,30,40,40,60,40,70,60,60,60,60,85,85,70,50,40,50,60,50,4,"Female","Black","Bachelor's Degree",15,48,1
"185","City","City Person",1,"Democrat",85,60,85,0,85,15,100,40,60,70,70,40,60,70,50,70,50,85,50,85,50,85,70,60,60,70,50,85,90,3,"Female","Black","Some College",4,47,1
"186",NA,NA,4,"Independent",0,0,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","White","High School",1,43,0
"187","City","Small Town Person",1,"Democrat",85,50,70,0,100,0,100,60,85,85,70,60,70,70,85,85,50,100,100,85,85,85,85,60,7,50,85,100,100,NA,"Female","Hispanic","High School",14,71,1
"188","Suburb","Suburb Person",2,"Democrat",30,0,50,0,30,0,80,0,80,90,90,0,0,20,90,0,90,30,90,20,90,100,70,30,60,0,70,70,60,3,"Male","Hispanic","High School",10,31,0
"189","City","City Person",1,"Democrat",100,0,100,0,100,0,100,0,100,85,100,50,0,70,100,30,70,70,85,85,85,100,70,85,85,50,70,85,85,2,"Female","White","Graduate Degree",20,78,1
"190","Suburb","City Person",1,"Democrat",85,0,100,0,100,0,100,NA,85,100,70,NA,30,70,100,85,85,50,85,60,85,100,85,85,NA,NA,NA,100,85,4,"Female","Black","Graduate Degree",22,76,1
"191","City","Suburb Person",5,"Republican",50,85,50,10,0,7,70,50,50,30,30,85,80,100,50,90,50,NA,50,100,40,50,50,40,0,80,85,50,75,6,"Female","White","Some College",1,46,1
"192","City","Small Town Person",3,"Democrat",50,50,0,75,0,70,50,60,60,50,50,40,50,40,85,40,60,60,60,70,85,85,85,60,NA,NA,NA,NA,70,NA,"Female","White","High School",15,31,0
"193","Suburb","Suburb Person",4,"Independent",NA,NA,50,0,100,0,85,85,50,50,50,50,50,50,85,50,50,50,50,70,85,50,100,50,50,50,50,50,50,4,"Female","Black","Some College",17,29,1
"194","City","City Person",1,"Democrat",70,40,70,30,70,0,70,85,85,60,85,85,70,70,85,70,85,85,100,100,85,85,85,70,70,85,60,85,100,6,"Female","Hispanic","Some College",7,69,1
"195","Suburb","Suburb Person",2,"Democrat",100,0,60,0,60,0,50,50,100,100,50,30,0,50,100,30,100,100,100,40,100,100,100,100,100,0,NA,100,100,1,"Female","White","High School",10,34,0
"196","City","Suburb Person",6,"Republican",15,60,0,50,15,60,15,50,30,50,50,50,15,40,50,0,85,50,50,100,50,60,0,50,30,30,60,15,15,NA,"Male","White","Some College",4,23,1
"197","Suburb","Suburb Person",3,"Democrat",60,40,50,30,85,40,100,85,70,100,40,70,40,40,60,15,85,85,100,100,60,100,60,85,NA,NA,85,70,70,NA,"Male","White","Graduate Degree",9,61,1
"198","City","City Person",1,"Democrat",60,15,70,0,70,0,85,15,60,85,60,50,35,65,80,30,65,70,90,65,60,90,40,75,30,50,70,65,70,2,"Male","White","Graduate Degree",21,57,1
"199","Suburb","Suburb Person",7,"Republican",0,60,0,70,0,80,40,70,0,0,50,85,85,50,50,15,50,100,85,100,50,50,0,15,0,85,100,15,15,7,"Female","White","Graduate Degree",1,33,0
"200","Small Town","Suburb Person",5,"Republican",50,50,60,60,30,40,70,40,70,70,0,100,70,100,100,15,100,70,100,100,100,85,70,0,40,70,100,40,40,4,"Female","White","Bachelor's Degree",NA,NA,1
"201","Suburb","Suburb Person",1,"Democrat",75,10,85,0,85,0,80,20,65,75,60,51,30,40,70,50,60,65,60,70,50,85,70,60,50,65,40,65,55,3,"Male","White","Graduate Degree",11,71,0
"202","Small Town","Small Town Person",7,"Republican",0,100,0,100,0,100,50,90,50,15,0,50,100,90,50,50,40,90,90,90,30,75,0,0,0,100,100,30,50,6,"Male","White","Bachelor's Degree",19,50,1
"203","Suburb","Suburb Person",4,"Independent",40,60,30,70,50,85,60,70,60,30,60,60,70,65,50,45,50,75,80,70,40,70,40,40,40,50,75,60,60,4,"Female","White","High School",NA,71,0
"204","Suburb","Suburb Person",4,"Independent",60,85,85,85,60,70,50,40,40,50,40,50,50,75,50,50,50,50,50,80,40,80,40,50,40,40,NA,60,75,4,"Female","White",NA,9,70,0
"205","City","City Person",4,"Independent",40,40,50,60,50,50,50,60,50,50,50,75,50,50,0,50,50,60,50,50,0,50,50,50,NA,50,50,0,15,5,"Male","Hispanic","High School",10,22,0
"206","Suburb","City Person",5,"Republican",NA,NA,15,60,50,50,NA,50,NA,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,3,"Male","Hispanic","Some College",17,24,0
"207","Small Town","City Person",1,"Democrat",60,30,60,0,85,0,100,50,70,85,90,70,40,60,100,75,100,50,100,75,100,90,90,85,75,40,100,75,90,NA,"Female","Black","Some College",4,40,0
"208","City","City Person",3,"Democrat",30,10,75,0,60,0,85,5,60,60,65,60,5,50,60,50,40,30,75,50,60,90,65,85,50,60,20,50,90,2,"Male","White","Bachelor's Degree",20,49,1
"209","Suburb","Suburb Person",1,"Democrat",70,40,70,30,85,30,100,85,50,70,70,40,40,70,85,70,85,100,100,85,85,85,85,70,40,40,70,85,85,4,"Female","White","Graduate Degree",17,56,0
"210","Suburb","Suburb Person",5,"Republican",40,60,40,85,30,60,50,50,50,50,50,79,70,50,50,30,50,70,50,60,50,60,40,0,50,70,60,40,50,6,"Male","Hispanic","High School",13,59,1
"211","City","City Person",7,"Republican",0,100,30,100,NA,NA,NA,85,50,0,60,85,100,70,100,NA,50,100,100,100,70,85,0,0,0,NA,NA,0,NA,7,"Male","White","Some College",19,63,1
"212","City","City Person",1,"Democrat",75,2,95,0,100,0,100,15,85,100,70,60,15,40,85,30,70,70,85,70,85,100,70,60,50,50,70,70,60,2,"Male","White","Graduate Degree",17,73,1
"213","Small Town","Small Town Person",1,"Democrat",85,15,90,0,90,0,85,30,70,80,70,30,30,50,90,40,90,90,90,75,90,85,90,65,50,40,60,90,80,3,"Female","White","Bachelor's Degree",20,56,1
"214","Small Town","Country Person",6,"Republican",20,60,40,60,50,70,30,40,40,40,50,100,80,90,100,20,100,70,100,100,50,90,0,60,0,80,100,50,80,4,"Male","White","Bachelor's Degree",22,41,1
"215","Suburb","Suburb Person",5,"Republican",50,50,50,60,40,40,70,50,60,50,70,50,50,50,70,50,70,70,70,85,60,85,70,60,50,NA,NA,70,85,NA,"Female","White","Some College",16,48,1
"216",NA,NA,7,"Republican",NA,100,NA,NA,NA,NA,50,100,7,0,9,5,9,6,0,6,0,100,100,100,0,9,8,100,NA,NA,NA,100,9,NA,"Female","White","Less than High School",22,80,1
"217",NA,NA,4,"Independent",15,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Female","Black","Some College",11,36,0
"218","City","Small Town Person",6,"Republican",40,100,40,85,30,60,70,50,50,15,40,50,60,50,50,40,50,60,60,100,50,60,40,15,0,60,80,30,50,4,"Female","Other","Bachelor's Degree",10,64,1
"219","Suburb","Suburb Person",6,"Republican",15,40,0,15,0,50,50,50,40,40,30,0,40,100,85,40,100,100,100,85,40,100,0,15,15,70,50,70,50,6,"Male","White","Some College",17,28,1
"220","City","Country Person",3,"Democrat",60,40,15,0,70,0,100,0,80,70,50,40,25,0,100,50,100,0,50,75,100,100,100,100,0,NA,NA,100,100,3,"Male","White","Some College",1,21,0
"221","Suburb","Suburb Person",6,"Republican",20,60,40,70,60,50,60,60,50,30,15,40,60,70,50,30,50,70,50,70,30,60,30,30,15,60,60,30,60,5,"Male","White","Some College",15,61,1
"222","Rural Area","Small Town Person",1,"Democrat",85,0,85,0,100,0,100,15,70,85,85,50,0,40,100,70,60,60,85,70,70,100,70,85,70,60,40,85,85,2,"Male","White","Some College",2,65,1
"223","Rural Area","Country Person",7,"Republican",30,85,30,70,30,70,70,50,50,30,50,50,85,50,65,50,50,90,50,85,50,85,40,50,50,50,100,65,80,5,"Female","White","Some College",10,35,1
"224","Suburb","Suburb Person",3,"Democrat",40,25,55,5,40,0,85,40,50,50,70,50,50,50,100,40,50,40,100,40,100,60,40,100,60,20,50,50,50,NA,"Male","White","Bachelor's Degree",15,31,1
"225","City","City Person",4,"Independent",50,50,50,30,70,15,50,60,100,50,50,50,50,50,50,50,50,85,50,85,50,50,100,40,50,NA,NA,NA,70,NA,"Female","Other","Some College",7,24,0
"226","Rural Area","Country Person",4,"Independent",20,10,20,15,80,0,50,100,100,50,80,70,50,50,100,50,50,100,50,90,100,100,100,100,75,50,80,100,100,4,"Female","White","High School",4,37,0
"227","Small Town","Suburb Person",5,"Republican",0,50,0,75,0,85,0,60,60,0,50,15,40,15,70,15,40,85,60,85,70,60,0,0,0,70,85,0,15,4,"Male","White","High School",12,53,1
"228","City","Suburb Person",3,"Democrat",70,0,85,0,85,0,50,0,100,85,100,30,0,30,100,40,100,0,85,0,100,100,100,50,50,0,40,70,85,2,"Female","White","Bachelor's Degree",10,34,1
"229","Suburb","City Person",3,"Democrat",85,0,85,0,85,0,100,40,100,85,100,75,30,70,75,80,60,80,100,85,70,100,85,80,70,50,75,90,90,4,"Male","Asian","Graduate Degree",10,60,1
"230","Suburb","Suburb Person",6,"Republican",60,30,85,30,85,0,100,40,50,50,60,30,50,50,50,40,70,100,70,85,50,85,60,70,40,40,60,60,85,4,"Male","White","Some College",13,66,1
"231","Suburb","Suburb Person",7,"Republican",0,100,0,100,0,100,15,50,0,0,100,70,0,70,50,0,0,100,100,100,0,100,0,0,40,30,100,0,0,NA,"Male","White","High School",16,70,1
"232","Suburb","Suburb Person",2,"Democrat",70,60,85,0,100,0,100,15,85,85,15,70,60,85,85,85,40,70,85,85,50,100,85,85,60,40,100,85,100,4,"Female","White","Graduate Degree",18,51,1
"233","Small Town","Country Person",1,"Democrat",80,40,65,0,70,0,70,100,60,60,40,70,50,100,100,30,100,100,100,90,100,100,100,50,50,50,100,NA,100,4,"Female","White","High School",11,44,1
"234","Suburb","Suburb Person",1,"Democrat",70,15,85,15,100,30,70,50,80,80,50,40,70,50,50,70,50,70,90,70,50,100,70,80,80,15,90,50,80,4,"Female","Black","Graduate Degree",15,60,1
"235","City",NA,7,"Republican",50,50,0,85,0,70,50,0,50,50,0,0,50,70,50,0,50,50,50,100,50,100,0,50,0,100,50,50,70,7,"Male","Native American","Some College",12,34,0
"236","Suburb","Suburb Person",7,"Republican",0,85,15,85,30,85,50,100,40,15,40,70,85,70,50,40,50,100,60,85,50,60,0,15,0,70,85,15,50,6,"Male","White","Some College",19,53,1
"237","Small Town","Suburb Person",1,"Democrat",70,15,85,0,100,0,100,15,100,85,60,40,0,60,100,40,85,60,100,40,100,100,100,70,70,70,40,85,85,2,"Female","White","Bachelor's Degree",18,37,1
"238","Suburb","City Person",4,"Independent",50,50,60,0,90,30,70,50,15,80,60,60,50,50,50,55,0,80,80,75,30,80,65,85,0,50,50,40,70,4,"Female","White","Some College",12,56,0
"239","City","City Person",2,"Democrat",75,50,75,15,60,10,60,30,85,75,75,30,40,60,65,50,50,50,50,50,60,50,90,50,40,50,75,75,85,2,"Female","White","Some College",7,46,0
"240",NA,NA,2,"Democrat",70,40,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Female","Asian","Some College",22,38,0
"241","Small Town","Small Town Person",4,"Independent",70,60,100,NA,100,15,70,40,70,70,70,70,70,70,70,60,60,40,100,85,70,85,100,70,NA,50,60,85,100,3,"Female","Other","Less than High School",15,63,1
"242","City","Suburb Person",1,"Democrat",77,40,72,18,72,13,88,0,85,75,49,28,22,61,83,50,54,68,57,61,55,100,81,44,60,34,46,95,80,2,"Male","White","Bachelor's Degree",3,29,1
"243",NA,NA,2,"Democrat",50,50,60,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","Hispanic","High School",10,41,0
"244","Small Town",NA,4,"Independent",15,15,40,30,70,30,100,15,80,0,70,60,90,90,100,60,90,80,100,100,100,100,15,50,50,70,90,90,90,4,"Male","White","Bachelor's Degree",NA,54,1
"245","Small Town","Small Town Person",7,"Republican",0,70,0,100,0,100,30,100,40,30,50,50,100,85,50,40,85,100,100,85,50,40,0,15,0,85,100,0,85,7,"Female","White","Bachelor's Degree",14,79,1
"246","Rural Area","Country Person",1,"Democrat",50,50,0,85,50,100,50,85,70,70,70,70,85,70,70,70,85,85,85,85,30,100,0,60,70,70,70,85,100,4,"Female","White","Some College",1,31,0
"247","Suburb","City Person",7,"Republican",0,90,0,100,0,100,5,40,0,10,15,10,80,40,35,15,5,85,75,75,10,60,0,5,0,60,75,10,10,6,"Male","White","Some College",NA,50,1
"248","City",NA,1,"Democrat",95,0,100,0,100,0,100,25,100,100,80,40,25,30,100,75,100,100,100,75,100,100,100,90,65,75,100,100,100,2,"Female","White","Bachelor's Degree",11,64,1
"249","Suburb","Suburb Person",1,"Democrat",85,15,60,0,100,0,100,50,100,85,85,50,40,50,50,40,50,70,60,50,70,100,85,100,50,50,50,85,60,5,"Female","White",NA,NA,80,0
"250","Rural Area","Country Person",1,"Democrat",85,30,70,0,60,0,70,40,50,60,70,40,60,40,50,40,50,70,70,85,50,85,70,30,40,40,85,60,70,4,"Male","White","Graduate Degree",17,60,1
"251",NA,NA,1,"Democrat",85,50,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Female","Hispanic","Graduate Degree",17,28,0
"252","City","City Person",2,"Democrat",85,30,100,0,100,0,50,70,60,70,50,70,60,70,100,70,70,85,70,40,100,70,100,80,NA,NA,NA,NA,85,NA,"Female","Hispanic","High School",12,46,1
"253","City","Small Town Person",1,"Democrat",100,0,100,0,100,0,100,15,100,100,40,15,15,50,90,40,85,50,60,15,85,100,100,40,60,60,70,100,100,2,"Female","White","Graduate Degree",12,66,1
"254",NA,NA,6,"Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","Black","Less than High School",1,63,0
"255","City",NA,4,"Independent",NA,NA,NA,NA,50,50,60,50,40,50,40,40,50,40,40,40,50,40,50,40,40,60,40,40,50,50,50,40,40,4,"Female","White","Some College",1,38,1
